iter	Passed	Remaining
591	83081	5593	8592	83153	5594	8593	83231	5595	8594	83317	5596	8595	83403	5597	8596	83463	5598	8597	83519	56145
598	83560	5600	8599	83606	5601	8600	83648	5602	8601	83699	5603	8602	83746	5604	8603	83796	5605	8604	83841	5606	8605	83884	5607	8606	83928	5608	8607	83970	5609	8608	84019	5610	8609	84066	5611	8610	84118	5612	8611	84161	5613	8612	84211	5614	8613	84263	5615	8614	84314	5616	8615	84365	5617	8616	84412	5618	8617	84458	5619	8618	84506	52014
619	84548	51820
620	84592	51627
621	84633	5623	8622	84695	51252
623	84742	5625	8624	84798	5626	8625	84903	5627	8626	84955	5628	8627	85001	5629	8628	85054	5630	8629	85104	4631	8630	85142	4632	8631	85183	4633	8632	85238	4634	8633	85293	4635	8634	85352	4636	8635	85398	4637	8636	85448	4638	8637	85487	4639	8638	85529	4640	8639	85580	4641	8640	85627	4642	8641	85669	4643	8642	85718	4644	8643	85779	4645	8644	85827	4646	8645	85872	4647	8646	85923	4648	8647	85967	4649	8648	86005	4650	8649	86047	4651	8650	86087	4652	8651	86135	4653	8652	86179	4654	8653	86221	4655	8654	86262	4656	86295	45052
657	8656	86362	4658	86407	44711
659	86457	44538
660	8659	86520	4661	8660	86563	4662	8661	86619	4663	8662	86662	4664	8663	86714	4665	8664	86756	4666	8665	86806	4667	8666	86848	4668	8667	86891	4669	8668	86946	4670	8669	86985	4671	8670	87035	4672	8671	87084	4673	8672	87133	4674	8673	87180	4675	8674	87223	4676	8675	87271	4677	8676	87328	4678	8677	87385	4679	8678	87450	4680	8679	87515	4681	8680	87569	4682	8681	87607	4683	8682	87663	40687
683	87718	40525
684	87761	40357
685	87807	40191
686	87848	4688	8687	87907	39864
688	87953	39700
689	87996	39534
690	88047	39372
691	88104	39214
692	88151	39051
693	88200	38889
694	88251	38729
695	88294	38565
696	88343	38404
697	88391	38244
698	88435	38081
699	88479	37919
700	88529	37760
701	88576	37600
702	88619	37439
703	88674	37283
704	88716	37122
705	88757	36961
706	88799	36800
707	88852	36645
708	88911	36492
709	88957	36334
710	89012	36180
711	89057	36023
712	89096	35863
713	89142	35707
714	89186	35549
715	89235	35394
716	89274	35236
717	89317	35080
718	89360	34924
719	89403	34767
720	89450	34613
721	89489	34457
722	89529	34301
723	89577	34148
724	89619	33993
725	89654	33836
726	89695	33682
727	89745	33531
728	89794	33380
729	89840	33228
730	89888	33078
731	89939	32928
732	89980	32776
733	90021	32623
734	90076	32476
735	90118	32324
736	90151	32170
737	90195	32020
738	90241	31871
739	90283	31721
740	90329	31572
741	90379	31425
742	90424	31277
743	90468	31128
744	90512	30980
745	90552	30831
746	90598	30684
747	90643	30537
748	90686	30390
749	90743	30247
750	90819	30111
751	90877	29970
752	90954	29835
753	91022	29696
754	91098	29561
755	91162	29422
756	91247	29290
757	91307	29150
758	91349	29005
759	91401	28863
760	91473	28728
761	91529	28587
762	91620	28458
763	91686	28322
764	91774	28192
765	91818	28049
766	91886	27913
767	91928	27770
768	91977	27628
769	92020	27486
770	92069	27346
771	92118	27206
772	92165	27065
773	92215	26925
774	92263	26786
775	92314	26647
776	92359	26507
777	92402	26366
778	92447	26227
779	92505	26091
780	92550	25952
781	92605	25815
782	92668	25681
783	92716	25544
784	92768	25408
785	92821	25271
786	92862	25132
787	92908	24995
788	92964	24861
789	93012	24724
790	93053	24586
791	93098	24450
792	93177	24322
793	93233	24188
794	93287	24055
795	93359	23926
796	93434	23798
797	93509	23670
798	93575	23540
799	93646	23411
800	93709	23281
801	93771	23150
802	93820	23016
803	93882	22886
804	93944	22756
805	93987	22622
806	94028	22487
807	94076	22354
808	94121	22221
809	94168	22088
810	94205	21954
811	94247	21820
812	94290	21688
813	94341	21557
814	94381	21424
815	94424	21291
816	94469	21160
817	94512	21028
818	94550	20895
819	94594	20764
820	94640	20634
821	94689	20504
822	94742	20376
823	94785	20245
824	94828	20115
825	94870	19984
826	94911	19854
827	94962	19726
828	95004	19596
829	95047	19467
830	95091	19338
831	95138	19210
832	95192	19084
833	95232	18955
834	95279	18827
835	95318	18698
836	95359	18570
837	95404	18443
838	95454	18317
839	95500	18190
840	95545	18063
841	95588	17937
842	95640	17812
843	95685	17685
844	95741	17562
845	95795	17437
846	95849	17314
847	95903	17190
848	95955	17066
849	96003	16941
850	96045	16816
851	96090	16691
852	96147	16569
853	96195	16445
854	96238	16321
855	96287	16197
856	96331	16074
857	96370	15949
858	96415	15826
859	96458	15702
860	96499	15578
861	96544	15456
862	96581	15332
863	96628	15210
864	96672	15087
865	96712	14964
866	96759	14843
867	96803	14721
868	96847	14599
869	96898	14479
870	96944	14358
871	96992	14237
872	97035	14116
873	97081	13995
874	97123	13874
875	97155	13752
876	97201	13632
877	97240	13511
878	97284	13391
879	97328	13272
880	97371	13152
881	97422	13033
882	97468	12914
883	97508	12795
884	97552	12676
885	97601	12558
886	97690	12445
887	97731	12326
888	97783	12209
889	97825	12090
890	97866	11972
891	97913	11855
892	97951	11736
893	97996	11619
894	98039	11501
895	98090	11385
896	98139	11269
897	98179	11151
898	98225	11035
899	98267	10918
900	98311	10802
901	98356	10686
902	98398	10569
903	98439	10453
904	98488	10338
905	98531	10222
906	98571	10107
907	98614	9991
908	98665	9877
909	98707	9762
910	98746	9646
911	98791	9532
912	98839	9418
913	98879	9303
914	98923	9189
915	98970	9075
916	99023	8962
917	99066	8849
918	99106	8735
919	99144	8621
920	99182	8507
921	99223	8394
922	99270	8281
923	99314	8168
924	99349	8055
925	99390	7942
926	99436	7830
927	99478	7718
928	99525	7606
929	99573	7494
930	99617	7383
931	99656	7271
932	99701	7159
933	99752	7048
934	99791	6937
935	99833	6826
936	99877	6715
937	99917	6604
938	99958	6493
939	100003	6383
940	100050	6273
941	100092	6162
942	100141	6053
943	100181	5942
944	100221	5832
945	100257	5722
946	100301	5613
947	100342	5504
948	100379	5394
949	100411	5284
950	100454	5175
951	100498	5067
952	100537	4958
953	100577	4849
954	100629	4741
955	100678	4633
956	100716	4525
957	100762	4417
958	100802	4309
959	100843	4201
960	100890	4094
961	100937	3987
962	100982	3879
963	101023	3772
964	101071	3665
965	101120	3559
966	101163	3452
967	101210	3345
968	101252	3239
969	101293	3132
970	101335	3026
971	101378	2920
972	101434	2814
973	101480	2708
974	101516	2602
975	101557	2497
976	101601	2391
977	101639	2286
978	101681	2181
